y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,54852,107418,3629049
01,97,AL,AL Total Migration-US,54303,106111,3588962
01,98,AL,AL Total Migration-Foreign,549,1307,40086
01,97,AL,AL Total Migration-Same State,65526,126213,3575353
01,01,AL,AL Non-migrants,1617870,3382346,115299520
01,13,GA,Georgia,8704,16900,510255
01,12,FL,Florida,7865,14829,467978
01,47,TN,Tennessee,4509,8393,274587
01,48,TX,Texas,3854,7800,266546
01,28,MS,Mississippi,3101,5903,168646
01,06,CA,California,2492,4876,192602
01,37,NC,North Carolina,1782,3685,116597
01,51,VA,Virginia,1631,3426,151014
01,22,LA,Louisiana,1431,2834,118777
01,17,IL,Illinois,1416,2814,108209
01,08,CO,Colorado,1214,2419,84668
01,36,NY,New York,1192,2190,99556
01,45,SC,South Carolina,1118,2251,79932
01,39,OH,Ohio,1100,2102,63809
01,26,MI,Michigan,988,1879,57650
01,18,IN,Indiana,909,1801,72416
01,21,KY,Kentucky,869,1727,52461
01,53,WA,Washington,852,1825,68895
01,04,AZ,Arizona,819,1646,53745
01,42,PA,Pennsylvania,747,1408,49040
01,29,MO,Missouri,741,1457,45607
01,24,MD,Maryland,639,1321,53729
01,57,FR,Foreign,549,1307,40086
01,05,AR,Arkansas,482,925,37214
01,55,WI,Wisconsin,431,808,26386
01,40,OK,Oklahoma,431,863,25856
01,34,NJ,New Jersey,395,777,27266
01,20,KS,Kansas,385,794,28116
01,32,NV,Nevada,375,762,23738
01,25,MA,Massachusetts,319,556,24335
01,41,OR,Oregon,309,604,23320
01,19,IA,Iowa,294,514,15936
01,15,HI,Hawaii,270,628,18728
01,49,UT,Utah,268,619,18287
01,27,MN,Minnesota,256,474,19961
01,02,AK,Alaska,250,550,16589
01,09,CT,Connecticut,229,446,18875
01,35,NM,New Mexico,225,454,14986
01,54,WV,West Virginia,185,387,11161
01,16,ID,Idaho,166,358,11107
01,31,NE,Nebraska,164,342,9804
01,38,ND,North Dakota,121,267,7682
01,11,DC,District Of Columbia,107,166,12379
01,33,NH,New Hampshire,103,188,8144
01,46,SD,South Dakota,100,214,5930
01,30,MT,Montana,99,196,4612
01,56,WY,Wyoming,94,190,4924
01,10,DE,Delaware,89,200,6749
01,23,ME,Maine,85,180,4391
01,44,RI,Rhode Island,65,111,3593
01,50,VT,Vermont,33,52,2175
02,96,AK,AK Total Migration-US and Foreign,14852,28185,895915
02,97,AK,AK Total Migration-US,14419,27210,871218
02,98,AK,AK Total Migration-Foreign,433,975,24697
02,97,AK,AK Total Migration-Same State,6887,12604,417799
02,02,AK,AK Non-migrants,261362,527600,22099883
02,53,WA,Washington,1391,2470,83709
02,06,CA,California,1350,2273,88411
02,48,TX,Texas,1264,2642,93162
02,12,FL,Florida,779,1404,37958
02,08,CO,Colorado,681,1280,43970
02,04,AZ,Arizona,679,1285,46427
02,41,OR,Oregon,678,1205,37598
02,37,NC,North Carolina,462,1041,26356
02,57,FR,Foreign,433,975,24697
02,13,GA,Georgia,424,915,24709
02,51,VA,Virginia,410,809,24452
02,32,NV,Nevada,366,687,20412
02,49,UT,Utah,336,685,20205
02,36,NY,New York,322,525,16193
02,16,ID,Idaho,311,628,16238
02,15,HI,Hawaii,281,561,15681
02,47,TN,Tennessee,258,565,14365
02,27,MN,Minnesota,244,404,15535
02,26,MI,Michigan,241,410,13291
02,39,OH,Ohio,240,387,14329
02,45,SC,South Carolina,230,464,11340
02,40,OK,Oklahoma,229,496,13864
02,17,IL,Illinois,224,383,12075
02,30,MT,Montana,222,402,12959
02,29,MO,Missouri,212,424,10089
02,55,WI,Wisconsin,200,336,11374
02,42,PA,Pennsylvania,196,332,12469
02,35,NM,New Mexico,168,344,11902
02,22,LA,Louisiana,165,340,9695
02,01,AL,Alabama,159,354,9868
02,20,KS,Kansas,153,349,8530
02,24,MD,Maryland,143,270,9769
02,18,IN,Indiana,127,205,6894
02,21,KY,Kentucky,124,258,7079
02,25,MA,Massachusetts,121,181,7051
02,05,AR,Arkansas,108,247,5485
02,34,NJ,New Jersey,108,194,6204
02,28,MS,Mississippi,93,178,5985
02,56,WY,Wyoming,89,181,8704
02,23,ME,Maine,86,153,4644
02,38,ND,North Dakota,85,169,4290
02,31,NE,Nebraska,69,134,4144
02,46,SD,South Dakota,67,129,3262
02,19,IA,Iowa,67,92,2785
02,09,CT,Connecticut,55,74,2926
02,33,NH,New Hampshire,46,67,4182
02,54,WV,West Virginia,37,63,1613
02,11,DC,District Of Columbia,36,57,4375
02,10,DE,Delaware,34,78,1917
02,50,VT,Vermont,29,40,1606
02,44,RI,Rhode Island,20,40,1135
04,96,AZ,AZ Total Migration-US and Foreign,135629,240595,12161508
04,97,AZ,AZ Total Migration-US,134643,238555,12104082
04,98,AZ,AZ Total Migration-Foreign,986,2040,57427
04,97,AZ,AZ Total Migration-Same State,52429,95177,2834521
04,04,AZ,AZ Non-migrants,2557290,5151958,201684309
04,06,CA,California,35173,63097,3689374
04,53,WA,Washington,9089,16673,856140
04,48,TX,Texas,8048,14613,600020
04,17,IL,Illinois,6758,11778,955655
04,08,CO,Colorado,6606,11264,558697
04,32,NV,Nevada,4490,7797,290614
04,41,OR,Oregon,4386,7804,369298
04,12,FL,Florida,4316,7142,308310
04,36,NY,New York,3550,5556,384574
04,35,NM,New Mexico,3469,6344,192833
04,27,MN,Minnesota,3287,5655,353502
04,49,UT,Utah,3059,6140,201529
04,26,MI,Michigan,2880,4964,237437
04,55,WI,Wisconsin,2786,4761,260544
04,39,OH,Ohio,2485,4216,175023
04,42,PA,Pennsylvania,2165,3574,196767
04,51,VA,Virginia,1984,3625,208649
04,37,NC,North Carolina,1887,3487,127863
04,18,IN,Indiana,1887,3312,135799
04,29,MO,Missouri,1861,3321,125236
04,13,GA,Georgia,1766,3172,125009
04,16,ID,Idaho,1710,3255,100959
04,19,IA,Iowa,1478,2541,109213
04,34,NJ,New Jersey,1410,2415,170270
04,47,TN,Tennessee,1371,2474,87342
04,25,MA,Massachusetts,1206,1925,127150
04,15,HI,Hawaii,1112,2114,71084
04,20,KS,Kansas,1100,2026,77508
04,31,NE,Nebraska,1079,1915,81820
04,30,MT,Montana,1069,1842,114459
04,40,OK,Oklahoma,1022,1893,61725
04,24,MD,Maryland,1001,1740,87904
04,57,FR,Foreign,986,2040,57427
04,02,AK,Alaska,943,1704,73354
04,46,SD,South Dakota,844,1455,58257
04,45,SC,South Carolina,841,1622,64845
04,38,ND,North Dakota,828,1444,59710
04,56,WY,Wyoming,732,1364,64999
04,21,KY,Kentucky,656,1149,33503
04,09,CT,Connecticut,652,1055,63940
04,22,LA,Louisiana,608,1062,38035
04,01,AL,Alabama,564,1027,32784
04,05,AR,Arkansas,526,958,35113
04,28,MS,Mississippi,352,641,15693
04,33,NH,New Hampshire,343,565,29302
04,23,ME,Maine,329,539,20352
04,11,DC,District Of Columbia,215,291,22112
04,10,DE,Delaware,189,343,13952
04,54,WV,West Virginia,180,333,11805
04,50,VT,Vermont,176,281,10620
04,44,RI,Rhode Island,175,287,13397
05,96,AR,AR Total Migration-US and Foreign,37281,72775,2230975
05,97,AR,AR Total Migration-US,37059,72309,2219907
05,98,AR,AR Total Migration-Foreign,222,466,11068
05,97,AR,AR Total Migration-Same State,46667,89146,2058425
05,05,AR,AR Non-migrants,976801,2070970,68385089
05,48,TX,Texas,6920,13527,437952
05,29,MO,Missouri,3145,5843,149771
05,06,CA,California,3139,6554,226927
05,40,OK,Oklahoma,2780,5498,120623
05,47,TN,Tennessee,1898,3562,103021
05,12,FL,Florida,1710,3089,109524
05,22,LA,Louisiana,1486,2990,76259
05,08,CO,Colorado,1271,2481,88392
05,17,IL,Illinois,1204,2203,77205
05,28,MS,Mississippi,1056,2012,51540
05,04,AZ,Arizona,909,1943,57673
05,20,KS,Kansas,778,1400,54523
