y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,47665,85968,3223014
01,97,AL,AL Total Migration-US,47179,84874,3187972
01,98,AL,AL Total Migration-Foreign,486,1094,35042
01,97,AL,AL Total Migration-Same State,63832,119588,3790741
01,01,AL,AL Non-migrants,1670844,3472380,134752668
01,13,GA,Georgia,8159,14709,482328
01,12,FL,Florida,7124,12769,601845
01,47,TN,Tennessee,4344,7603,284335
01,48,TX,Texas,4059,7414,270444
01,28,MS,Mississippi,2542,4627,132309
01,37,NC,North Carolina,1843,3333,132894
01,06,CA,California,1579,2556,111415
01,51,VA,Virginia,1343,2563,100501
01,08,CO,Colorado,1109,1912,96181
01,45,SC,South Carolina,1102,2022,84265
01,22,LA,Louisiana,948,1721,69671
01,39,OH,Ohio,915,1708,57198
01,17,IL,Illinois,902,1634,50106
01,21,KY,Kentucky,756,1475,47867
01,26,MI,Michigan,754,1412,40253
01,36,NY,New York,751,1216,56849
01,18,IN,Indiana,685,1220,37170
01,53,WA,Washington,657,1092,42982
01,04,AZ,Arizona,606,1121,42884
01,29,MO,Missouri,584,1075,35140
01,42,PA,Pennsylvania,582,1019,33284
01,24,MD,Maryland,533,890,34069
01,57,FR,Foreign,486,1094,35042
01,05,AR,Arkansas,471,896,29428
01,40,OK,Oklahoma,362,731,20370
01,25,MA,Massachusetts,328,525,23046
01,20,KS,Kansas,316,644,17743
01,49,UT,Utah,283,552,21172
01,55,WI,Wisconsin,278,506,17053
01,41,OR,Oregon,269,424,16391
01,34,NJ,New Jersey,269,460,19155
01,32,NV,Nevada,266,472,15226
01,27,MN,Minnesota,240,428,15023
01,15,HI,Hawaii,227,509,16721
01,35,NM,New Mexico,212,372,14994
01,02,AK,Alaska,199,453,11162
01,19,IA,Iowa,185,325,9452
01,31,NE,Nebraska,159,307,10323
01,11,DC,District Of Columbia,152,199,10062
01,54,WV,West Virginia,142,265,12421
01,30,MT,Montana,140,247,9026
01,09,CT,Connecticut,138,208,7302
01,16,ID,Idaho,118,248,8222
01,23,ME,Maine,88,162,4613
01,38,ND,North Dakota,79,145,4755
01,10,DE,Delaware,75,135,5275
01,33,NH,New Hampshire,75,146,5703
01,46,SD,South Dakota,74,136,4365
01,56,WY,Wyoming,63,122,6025
01,50,VT,Vermont,51,93,5690
01,44,RI,Rhode Island,43,73,3266
02,96,AK,AK Total Migration-US and Foreign,16834,32471,1281505
02,97,AK,AK Total Migration-US,16482,31733,1256946
02,98,AK,AK Total Migration-Foreign,352,738,24559
02,97,AK,AK Total Migration-Same State,6377,11742,438393
02,02,AK,AK Non-migrants,266296,535471,25519259
02,53,WA,Washington,1720,3041,129430
02,48,TX,Texas,1469,3086,120741
02,06,CA,California,1150,1972,72934
02,04,AZ,Arizona,1013,1839,88176
02,12,FL,Florida,982,1877,73283
02,41,OR,Oregon,711,1214,59212
02,08,CO,Colorado,700,1289,52150
02,37,NC,North Carolina,528,1133,34800
02,13,GA,Georgia,485,1043,30265
02,32,NV,Nevada,439,810,38471
02,16,ID,Idaho,424,775,35437
02,51,VA,Virginia,415,954,33502
02,47,TN,Tennessee,356,721,23900
02,57,FR,Foreign,352,738,24559
02,49,UT,Utah,326,644,22873
02,30,MT,Montana,311,564,25234
02,15,HI,Hawaii,308,664,20427
02,40,OK,Oklahoma,302,655,21357
02,27,MN,Minnesota,299,534,23551
02,26,MI,Michigan,297,629,45811
02,29,MO,Missouri,278,591,18867
02,39,OH,Ohio,261,515,16343
