statefips,state,state_name,agi_stub,total_n1_0,total_n2_0,total_y1_agi_0,total_y2_agi_0,total_n1_1,total_n2_1,total_y1_agi_1,total_y2_agi_1,total_n1_2,total_n2_2,total_y1_agi_2,total_y2_agi_2,total_n1_3,total_n2_3,total_y1_agi_3,total_y2_agi_3,total_n1_4,total_n2_4,total_y1_agi_4,total_y2_agi_4,total_n1_5,total_n2_5,total_y1_agi_5,total_y2_agi_5,total_n1_6,total_n2_6,total_y1_agi_6,total_y2_agi_6,nonmig_n1_0,nonmig_n2_0,nonmig_y1_agi_0,nonmig_y2_agi_0,nonmig_n1_1,nonmig_n2_1,nonmig_y1_agi_1,nonmig_y2_agi_1,nonmig_n1_2,nonmig_n2_2,nonmig_y1_agi_2,nonmig_y2_agi_2,nonmig_n1_3,nonmig_n2_3,nonmig_y1_agi_3,nonmig_y2_agi_3,nonmig_n1_4,nonmig_n2_4,nonmig_y1_agi_4,nonmig_y2_agi_4,nonmig_n1_5,nonmig_n2_5,nonmig_y1_agi_5,nonmig_y2_agi_5,nonmig_n1_6,nonmig_n2_6,nonmig_y1_agi_6,nonmig_y2_agi_6,outflow_n1_0,outflow_n2_0,outflow_y1_agi_0,outflow_y2_agi_0,outflow_n1_1,outflow_n2_1,outflow_y1_agi_1,outflow_y2_agi_1,outflow_n1_2,outflow_n2_2,outflow_y1_agi_2,outflow_y2_agi_2,outflow_n1_3,outflow_n2_3,outflow_y1_agi_3,outflow_y2_agi_3,outflow_n1_4,outflow_n2_4,outflow_y1_agi_4,outflow_y2_agi_4,outflow_n1_5,outflow_n2_5,outflow_y1_agi_5,outflow_y2_agi_5,outflow_n1_6,outflow_n2_6,outflow_y1_agi_6,outflow_y2_agi_6,inflow_n1_0,inflow_n2_0,inflow_y1_agi_0,inflow_y2_agi_0,inflow_n1_1,inflow_n2_1,inflow_y1_agi_1,inflow_y2_agi_1,inflow_n1_2,inflow_n2_2,inflow_y1_agi_2,inflow_y2_agi_2,inflow_n1_3,inflow_n2_3,inflow_y1_agi_3,inflow_y2_agi_3,inflow_n1_4,inflow_n2_4,inflow_y1_agi_4,inflow_y2_agi_4,inflow_n1_5,inflow_n2_5,inflow_y1_agi_5,inflow_y2_agi_5,inflow_n1_6,inflow_n2_6,inflow_y1_agi_6,inflow_y2_agi_6,samest_n1_0,samest_n2_0,samest_y1_agi_0,samest_y2_agi_0,samest_n1_1,samest_n2_1,samest_y1_agi_1,samest_y2_agi_1,samest_n1_2,samest_n2_2,samest_y1_agi_2,samest_y2_agi_2,samest_n1_3,samest_n2_3,samest_y1_agi_3,samest_y2_agi_3,samest_n1_4,samest_n2_4,samest_y1_agi_4,samest_y2_agi_4,samest_n1_5,samest_n2_5,samest_y1_agi_5,samest_y2_agi_5,samest_n1_6,samest_n2_6,samest_y1_agi_6,samest_y2_agi_6
01,AL,Alabama,0,1814101,3742457,146098448,148106819,216998,303479,6185216,6550243,333793,737136,16052048,18436373,322782,899854,24449508,26408496,286700,679673,30053719,30351781,285787,528744,32640031,32168853,368041,593571,36717924,34191070,1694361,3519463,138634294,140653562,186595,262022,5154439,5625251,299078,667887,14398998,16584554,302550,848738,23071821,24995239,273529,652128,28869010,29159717,275421,511184,31477789,31045535,357188,577504,35662234,33243263,49431,87394,3235521,3202618,13626,17160,541266,443705,15412,28402,762946,870076,7881,19584,577923,611298,4670,9908,464946,474205,3603,6144,464228,417223,4239,6196,424210,386109,55449,103677,3798933,3750640,12534,16533,449194,377593,15628,30668,800048,893368,9631,24897,744048,749839,6292,13428,619637,619089,5525,9401,625120,601051,5839,8750,560884,509698,64291,119317,3665220,3702616,17869,24924,581581,547397,19087,38581,853002,958450,10601,26219,633638,663417,6879,14117,565071,572975,4841,8159,537120,522266,5014,7317,494805,438109
01,AL,Alabama,1,121477,181169,2239201,690544,29336,36943,714474,176493,19707,33430,288314,119524,13189,25629,197143,79585,10605,17226,189666,61019,13847,19736,241012,72386,34793,48205,608589,181534,110287,164952,1966450,625488,24805,31239,573438,149458,17102,29073,241909,103647,11816,23120,173334,71392,9789,15996,172809,56437,13195,18855,225958,69101,33580,46669,578998,175451,4607,6315,131868,26962,1940,2269,73775,11996,1097,1691,19824,6378,505,913,9576,2922,307,461,8977,1800,265,347,8773,1269,493,634,10939,2595,5295,7538,139911,30617,1970,2402,68292,11884,1207,1952,24239,7247,676,1240,12907,3981,403,581,8311,2314,360,485,7904,1821,679,878,18256,3368,5895,8679,132839,34438,2561,3302,72743,15151,1398,2405,22165,8629,697,1269,10901,4211,413,649,8545,2267,292,396,7149,1463,534,658,11334,2715
01,AL,Alabama,2,356145,674881,7601111,6206110,82749,118438,1778354,1426236,79325,180872,1475339,1394354,60234,154803,1175711,1054924,36467,74429,772094,640795,33707,55115,823081,594008,63663,91224,1576528,1095791,327703,624838,6866330,5716524,71760,103422,1453678,1238463,71420,164144,1309335,1257061,56121,144893,1084974,983952,34437,70661,720685,606047,32294,53056,782451,569514,61671,88662,1515203,1061485,11509,19006,313233,200102,4674,5813,150951,81707,3235,6298,70158,56467,1564,3639,35490,26822,787,1557,18827,13594,501,712,14829,8781,748,987,22976,12727,12212,20624,337046,209953,4480,5823,137062,76435,3319,6603,74935,57357,1750,4153,41339,30067,931,1706,26912,16000,719,1015,23230,12581,1013,1324,33565,17510,16230,29419,397735,279632,6509,9193,187612,111337,4586,10125,91068,79935,2363,5757,49396,40904,1099,2062,24497,18747,694,1044,17399,11912,979,1238,27759,16796
01,AL,Alabama,3,474028,870106,16877404,17276667,74266,98506,2117462,2588934,106792,211480,3485678,3890220,86416,211059,3042376,3169157,67021,131357,2485733,2483813,62939,100852,2503881,2340020,76594,116852,3242271,2804521,440895,814339,15657826,16076764,64081,85068,1782476,2231772,96220,192318,3119742,3502196,81284,199329,2849030,2980921,63985,125903,2362175,2372077,60826,97762,2405138,2261812,74499,113959,3139263,2727983,13209,20867,526590,478980,4580,5722,190553,162103,4449,7455,156874,163346,1745,3863,66828,63945,970,1747,40713,35659,685,1005,33915,25334,780,1075,37704,28591,14226,23723,551024,514827,4216,5503,149749,146542,4498,8049,161736,165513,2107,4854,80751,77388,1285,2287,55868,46999,1018,1496,46477,37870,1102,1534,56440,40513,18907,32044,668553,685075,5969,7935,185236,210619,6074,11113,204199,222509,3025,6876,112595,110848,1751,3167,67688,64737,1095,1594,52265,40337,993,1359,46566,36024
01,AL,Alabama,4,279159,544914,16458088,17160148,20189,30362,859025,1213167,54429,114317,2903148,3319647,51994,132014,3007523,3190687,47373,97124,2858387,2920233,47867,81405,3054017,2963704,57307,89692,3775985,3552707,261332,512460,15436626,16069663,17126,25905,733791,1028641,48327,102884,2579529,2947523,48623,124109,2804029,2983661,45258,93149,2720513,2789957,46314,79035,2951219,2867466,55684,87378,3647543,3452413,7521,13068,419310,460729,1569,2102,72481,94621,2924,5275,154318,179395,1234,2793,72581,75748,677,1245,43853,41497,501,816,34012,31267,616,837,42062,38198,8169,15087,474252,502103,1218,1737,50411,73459,2803,5336,150091,172152,1618,3904,102150,99922,904,1702,58501,55786,784,1199,51697,48484,842,1209,61400,52298,9658,17367,547210,588381,1845,2720,74823,111067,3299,6097,173527,199972,1753,4001,101343,107103,1211,2273,79372,74489,769,1171,51100,47753,781,1105,67042,47995
01,AL,Alabama,5,180112,404228,14969881,15614228,6587,11665,382150,560709,30825,76885,2313540,2665755,32845,98581,2644215,2850995,32928,78463,2762414,2857986,34721,66380,3071553,3014439,42206,72254,3796006,3664343,170010,383092,14160704,14741225,5534,9898,325645,470810,27559,69845,2067132,2384306,30819,93062,2482905,2675130,31521,75519,2640707,2736200,33540,64341,2955890,2911612,41037,70427,3688422,3563165,4226,8304,341627,365345,540,760,30738,45979,1608,3050,114843,138637,847,2299,68033,73790,452,969,38718,39434,360,598,49892,31331,419,628,39400,36171,4973,10492,403238,430860,420,676,23718,35896,1559,3296,114210,134321,1009,2868,80699,88210,685,1481,59610,59459,641,1122,65052,56068,659,1049,59947,56903,5129,10644,405937,442142,633,1091,32786,54001,1707,3744,132197,147127,1017,2651,80611,87655,722,1463,62096,62326,540,917,50609,46757,510,778,47636,44273
01,AL,Alabama,6,297584,773026,38795964,40621528,3674,7244,293210,454166,37144,104094,4104894,4889595,59160,206149,7416055,8093343,65506,190640,8662006,9099112,64390,138624,8836211,8898612,67710,126275,9483586,9186698,283245,737945,37027812,38674063,3121,6217,252359,385966,33443,95001,3719367,4401689,55912,195872,7021801,7650863,62869,183864,8311724,8732718,62113,134084,8513841,8578743,65787,122907,9208719,8924082,6155,14267,742537,839075,292,448,19738,35968,1815,3997,189399,241227,1481,4452,178929,202333,983,2470,130358,138330,783,1565,107960,110297,801,1335,116151,110917,7792,19022,982396,1063722,215,370,15808,27089,1888,4550,200182,249998,1863,5880,230795,253696,1432,3736,190899,200078,1326,2618,191433,186910,1068,1868,153278,145949,6547,16059,785755,883742,338,657,25042,41110,1813,4543,185344,237907,1385,4397,163458,188784,1205,3040,159383,166314,951,1922,130936,132958,855,1500,121589,116667
01,AL,Alabama,7,105596,294133,49156796,50537590,197,321,40537,130535,5571,16058,1481132,2157276,18944,71619,6966482,7969800,26800,90434,12323415,12288821,28316,66632,14110273,14285682,25768,49069,14234955,13705474,100889,281837,47518543,48749832,168,273,33050,120139,5007,14622,1361980,1988129,17975,68353,6655745,7649317,25670,87036,11940394,11866278,27139,64051,13643290,13787284,24930,47502,13884082,13338681,2204,5567,760353,831421,31,46,3025,11328,284,636,57528,84623,505,1625,146484,165733,494,1459,183496,203888,508,1101,214844,208940,382,700,154974,156907,2782,7191,911063,998554,15,22,4150,6285,354,882,74653,106776,608,1998,195406,196572,652,1935,219534,238449,677,1466,239323,257313,476,888,177995,193156,1925,5105,727189,789203,14,26,3336,4110,210,554,44498,62369,361,1268,115331,123910,478,1463,163486,184092,500,1115,227659,241084,362,679,172877,173636
02,AK,Alaska,0,291515,579864,27203610,28303472,40742,51349,1312251,1422339,59420,118659,3441790,3910445,55369,152831,5318697,5782029,40374,96038,5191614,5310632,42604,77032,5623204,5649540,53006,83955,6316052,6228484,270550,542641,25881262,26917879,34849,43890,1122253,1230688,52939,106604,3099490,3530599,51617,143440,5013070,5455042,38456,92149,5004763,5116192,41125,74643,5455224,5484307,51564,81915,6186461,6101048,16325,30407,1185997,1169806,4328,5635,148176,144015,4790,9491,279510,297643,2738,7439,244068,250820,1485,3183,170681,159863,1467,2420,168693,163743,1517,2239,174867,153720,14980,26424,905982,958863,4520,5779,145936,146159,4733,8800,240537,275450,2573,6471,209707,224628,1252,2517,119972,125296,961,1540,107370,107563,941,1317,82458,79764,5985,10799,416365,426729,1373,1680,44061,45490,1748,3255,101762,104395,1179,2920,95919,102357,666,1372,66879,69142,518,849,60609,57670,501,723,47133,47672
02,AK,Alaska,1,16802,23429,324233,91883,4097,4745,103090,24190,3129,4970,48175,17432,2076,3730,35146,11321,1336,2030,25657,7035,1916,2571,35988,10091,4248,5383,76174,21810,15312,21427,289652,83389,3530,4097,88966,20842,2755,4385,41222,15335,1889,3424,30478,10235,1251,1916,23725,6536,1823,2452,33692,9562,4064,5153,71567,20877,1034,1320,32464,5821,416,449,14341,2490,202,285,5334,1168,108,196,2929,594,68,93,3084,353,97,123,2792,497,143,174,3981,716,940,1210,22906,5344,375,423,9603,2260,244,355,4799,1340,101,151,2966,601,50,62,1092,285,55,74,1515,303,115,145,2928,553,550,792,11673,3148,192,225,4520,1087,130,230,2153,756,86,155,1701,485,35,52,838,214,38,45,781,225,69,85,1679,379
